,Date,Correct Guesses
0,2021-04-01,8
1,2021-04-02,4
2,2021-04-03,8
3,2021-04-04,7
4,2021-04-05,6
5,2021-04-06,8
6,2021-04-07,6
7,2021-04-08,6
8,2021-04-09,5
9,2021-04-10,9
10,2021-04-11,7
11,2021-04-12,7
12,2021-04-13,6
13,2021-04-14,4
14,2021-04-15,7
15,2021-04-16,6
16,2021-04-17,11
17,2021-04-18,5
18,2021-04-19,1
19,2021-04-20,7
20,2021-04-21,5
21,2021-04-22,2
22,2021-04-23,13
23,2021-04-24,9
24,2021-04-25,8
25,2021-04-26,5
26,2021-04-27,8
27,2021-04-28,10
28,2021-04-29,4
29,2021-04-30,10
30,2021-05-01,8
31,2021-05-02,8
32,2021-05-03,7
33,2021-05-04,6
34,2021-05-05,6
35,2021-05-06,3
36,2021-05-07,9
37,2021-05-08,11
38,2021-05-09,9
39,2021-05-10,3
40,2021-05-11,10
41,2021-05-12,11
42,2021-05-13,7
43,2021-05-14,9
44,2021-05-15,10
45,2021-05-16,9
46,2021-05-17,4
47,2021-05-18,9
48,2021-05-19,10
49,2021-05-20,6
50,2021-05-21,9
51,2021-05-22,11
52,2021-05-23,9
53,2021-05-24,4
54,2021-05-25,9
55,2021-05-26,8
56,2021-05-27,11
57,2021-05-28,5
58,2021-05-29,12
59,2021-05-30,4
60,2021-05-31,11
61,2021-06-01,7
62,2021-06-02,7
63,2021-06-03,6
64,2021-06-04,8
65,2021-06-05,9
66,2021-06-06,7
67,2021-06-07,3
68,2021-06-08,9
69,2021-06-09,9
70,2021-06-10,5
71,2021-06-11,12
72,2021-06-12,8
73,2021-06-13,12
74,2021-06-14,9
75,2021-06-15,9
76,2021-06-16,9
77,2021-06-17,6
78,2021-06-18,8
79,2021-06-19,10
80,2021-06-20,11
81,2021-06-21,5
82,2021-06-22,6
83,2021-06-23,8
84,2021-06-24,7
85,2021-06-25,7
86,2021-06-26,10
87,2021-06-27,7
88,2021-06-28,7
89,2021-06-29,10
90,2021-06-30,8
91,2021-07-01,5
92,2021-07-02,11
93,2021-07-03,9
94,2021-07-04,10
95,2021-07-05,2
96,2021-07-06,6
97,2021-07-07,10
98,2021-07-08,5
99,2021-07-09,11
100,2021-07-10,9
101,2021-07-11,6
102,2021-07-16,8
103,2021-07-17,8
104,2021-07-18,9
105,2021-07-19,5
106,2021-07-20,10
107,2021-07-21,8
108,2021-07-22,7
109,2021-07-23,7
110,2021-07-24,5
111,2021-07-25,8
112,2021-07-26,6
113,2021-07-27,8
114,2021-07-28,9
115,2021-07-29,5
116,2021-07-30,9
117,2021-07-31,5
118,2021-08-01,10
119,2021-08-02,3
120,2021-08-03,5
121,2021-08-04,12
122,2021-08-05,7
123,2021-08-06,12
124,2021-08-07,11
125,2021-08-08,11
126,2021-08-09,3
127,2021-08-10,11
128,2021-08-11,13
