,date,pitcher,rating
0,2021-04-01,Clayton Kershaw,57.256595096782895
1,2021-04-06,Clayton Kershaw,56.383888532016705
2,2021-04-11,Clayton Kershaw,57.30138638205279
3,2021-04-17,Clayton Kershaw,57.865067966198104
4,2021-04-23,Clayton Kershaw,58.572803114450906
5,2021-04-28,Clayton Kershaw,58.1673988383297
6,2021-05-04,Clayton Kershaw,58.9293768340948
7,2021-05-08,Clayton Kershaw,57.472780133737494
8,2021-05-14,Clayton Kershaw,58.0942226113908
9,2021-05-19,Clayton Kershaw,57.5433280954284
10,2021-05-25,Clayton Kershaw,57.832139056014995
11,2021-05-30,Clayton Kershaw,58.66912949683189
12,2021-06-05,Clayton Kershaw,57.5308927992733
13,2021-06-11,Clayton Kershaw,57.20124294502211
14,2021-06-16,Clayton Kershaw,57.699524962297
15,2021-06-22,Clayton Kershaw,57.409004015430405
16,2021-06-27,Clayton Kershaw,56.993591701022304
17,2021-07-03,Clayton Kershaw,57.925879986539
0,2021-04-03,Walker Buehler,56.7806205985849
1,2021-04-09,Walker Buehler,57.2074574362302
2,2021-04-16,Walker Buehler,57.578555281704105
3,2021-04-22,Walker Buehler,57.198641674291494
4,2021-04-27,Walker Buehler,57.7194110180174
5,2021-05-05,Walker Buehler,57.2026047063417
6,2021-05-11,Walker Buehler,57.469764078278
7,2021-05-17,Walker Buehler,57.0257126964496
8,2021-05-22,Walker Buehler,57.8339104287339
9,2021-05-28,Walker Buehler,58.2465282365483
10,2021-06-02,Walker Buehler,58.01547477388989
11,2021-06-08,Walker Buehler,57.37209818924
12,2021-06-13,Walker Buehler,58.13473522363339
13,2021-06-19,Walker Buehler,58.03450810294821
14,2021-06-24,Walker Buehler,58.955418143659
15,2021-06-29,Walker Buehler,58.29025706962971
16,2021-07-05,Walker Buehler,59.010186190408795
17,2021-07-10,Walker Buehler,58.3680961632574
18,2021-07-17,Walker Buehler,58.7923391470174
19,2021-07-22,Walker Buehler,59.502355742625106
20,2021-07-28,Walker Buehler,60.23161180257811
21,2021-08-03,Walker Buehler,61.0637148292603
22,2021-08-08,Walker Buehler,61.02827259230829
23,2021-08-14,Walker Buehler,61.0487305028418
24,2021-08-19,Walker Buehler,61.0487305028418
0,2021-04-01,Brandon Woodruff,57.894227597162505
1,2021-04-07,Brandon Woodruff,57.3450484911783
2,2021-04-13,Brandon Woodruff,58.7149536882441
3,2021-04-19,Brandon Woodruff,59.2358792230931
4,2021-04-25,Brandon Woodruff,59.6617118080716
5,2021-05-01,Brandon Woodruff,60.3981521561551
6,2021-05-06,Brandon Woodruff,60.345229758165395
7,2021-05-12,Brandon Woodruff,61.075024461322094
8,2021-05-18,Brandon Woodruff,61.928974257000704
9,2021-05-24,Brandon Woodruff,62.2064375446425
