,date,team,rating
0,2021-04-01,TOR,1520.45351761819
1,2021-04-03,TOR,1519.4863811246898
2,2021-04-04,TOR,1521.06054867708
3,2021-04-05,TOR,1522.8409642206302
4,2021-04-06,TOR,1521.1341193023002
5,2021-04-07,TOR,1519.81254090183
6,2021-04-08,TOR,1518.39710370137
7,2021-04-09,TOR,1515.6412783426802
8,2021-04-10,TOR,1519.40033576037
9,2021-04-12,TOR,1518.4016709222599
10,2021-04-13,TOR,1520.27045539271
11,2021-04-14,TOR,1521.32296659067
12,2021-04-15,TOR,1519.85413379802
13,2021-04-17,TOR,1521.7428156665399
14,2021-04-17,TOR,1520.6290915345999
15,2021-04-18,TOR,1519.2375048463598
16,2021-04-20,TOR,1517.95206496306
17,2021-04-21,TOR,1519.64812129328
18,2021-04-23,TOR,1521.3689457284
19,2021-04-24,TOR,1520.0772400302499
20,2021-04-25,TOR,1521.07442201757
21,2021-04-27,TOR,1523.0865801344198
22,2021-04-28,TOR,1520.1315763910502
23,2021-04-30,TOR,1522.62455995292
24,2021-05-01,TOR,1523.67063547263
25,2021-05-02,TOR,1525.9310606280899
26,2021-05-03,TOR,1524.95600994456
27,2021-05-04,TOR,1523.39191874786
28,2021-05-05,TOR,1525.86401331999
29,2021-05-06,TOR,1528.07369693107
30,2021-05-07,TOR,1526.1116525876598
31,2021-05-08,TOR,1528.55376208937
32,2021-05-09,TOR,1527.2837699406698
33,2021-05-11,TOR,1528.6069502994199
34,2021-05-12,TOR,1530.14609208702
35,2021-05-13,TOR,1532.35299611313
36,2021-05-14,TOR,1530.02909883133
37,2021-05-15,TOR,1531.8835575257099
38,2021-05-16,TOR,1532.8914041803303
39,2021-05-18,TOR,1535.14048457286
40,2021-05-19,TOR,1532.91342805922
41,2021-05-20,TOR,1531.7398402245499
42,2021-05-21,TOR,1530.46398129867
43,2021-05-22,TOR,1528.98559562492
44,2021-05-23,TOR,1527.3288594728601
45,2021-05-24,TOR,1524.8021028590601
46,2021-05-25,TOR,1527.26000120773
47,2021-05-27,TOR,1527.71723064422
48,2021-05-27,TOR,1528.8483160842402
49,2021-05-28,TOR,1530.29182223894
50,2021-05-30,TOR,1531.03658280475
51,2021-05-30,TOR,1532.13381773849
52,2021-06-01,TOR,1532.50564772646
53,2021-06-02,TOR,1533.27350401332
54,2021-06-04,TOR,1528.93878024465
55,2021-06-05,TOR,1531.02920732914
56,2021-06-06,TOR,1529.4407626806799
57,2021-06-08,TOR,1527.4798626188501
58,2021-06-09,TOR,1529.90469440682
59,2021-06-10,TOR,1528.14466935862
60,2021-06-11,TOR,1527.2265972110401
61,2021-06-12,TOR,1529.6003510150301
62,2021-06-13,TOR,1533.7459200693
63,2021-06-14,TOR,1532.79739362237
64,2021-06-15,TOR,1531.63036342515
65,2021-06-16,TOR,1530.79544491919
66,2021-06-17,TOR,1528.5712261289402
67,2021-06-18,TOR,1525.22316013923
68,2021-06-19,TOR,1526.43480170998
69,2021-06-20,TOR,1527.35487733693
70,2021-06-22,TOR,1528.42388959966
71,2021-06-23,TOR,1529.73765861979
72,2021-06-24,TOR,1531.60634635579
73,2021-06-25,TOR,1529.99377850042
74,2021-06-26,TOR,1531.3735963006302
75,2021-06-27,TOR,1532.2858242483098
76,2021-06-29,TOR,1533.8480218610198
77,2021-06-30,TOR,1532.0879487962698
78,2021-07-01,TOR,1529.22487643126
79,2021-07-02,TOR,1532.2922665342599
80,2021-07-03,TOR,1533.8818235789402
81,2021-07-04,TOR,1531.7567163663098
82,2021-07-06,TOR,1530.1124902220001
83,2021-07-07,TOR,1531.89273101862
84,2021-07-09,TOR,1529.6828440942002
85,2021-07-10,TOR,1528.27788414931
86,2021-07-11,TOR,1529.90954609298
0,2021-04-01,NYY,1570.97524371728
1,2021-04-03,NYY,1571.9423802107801
2,2021-04-04,NYY,1570.36821265839
3,2021-04-05,NYY,1571.5408363814402
4,2021-04-06,NYY,1572.35923047519
5,2021-04-07,NYY,1570.89037828395
6,2021-04-09,NYY,1568.64845463231
7,2021-04-10,NYY,1566.69284407505
8,2021-04-11,NYY,1568.50156803581
9,2021-04-12,NYY,1569.50023287392
10,2021-04-13,NYY,1567.63144840347
11,2021-04-14,NYY,1566.5789372055099
12,2021-04-16,NYY,1563.5688327846801
13,2021-04-17,NYY,1561.7272842989098
14,2021-04-18,NYY,1559.74265530674
15,2021-04-20,NYY,1560.9198649836599
16,2021-04-21,NYY,1559.0440221892902
17,2021-04-22,NYY,1560.74067608426
18,2021-04-23,NYY,1561.80018137699
19,2021-04-24,NYY,1562.70484671501
20,2021-04-25,NYY,1560.51897988508
21,2021-04-26,NYY,1558.76386991806
22,2021-04-27,NYY,1560.08385254945
23,2021-04-28,NYY,1562.1339773438099
24,2021-04-29,NYY,1560.6863514647
25,2021-04-30,NYY,1561.7508159992499
26,2021-05-01,NYY,1562.49462209568
27,2021-05-02,NYY,1563.1982541732
28,2021-05-04,NYY,1565.0552565842802
29,2021-05-05,NYY,1566.47378269904
30,2021-05-06,NYY,1564.26360638857
31,2021-05-07,NYY,1560.75501090399
32,2021-05-08,NYY,1561.6714043775303
33,2021-05-09,NYY,1562.4695399216598
34,2021-05-11,NYY,1563.8011844932598
35,2021-05-12,NYY,1564.63021904361
36,2021-05-13,NYY,1561.7386417116597
37,2021-05-14,NYY,1562.44575869073
38,2021-05-15,NYY,1564.1028322421698
39,2021-05-16,NYY,1561.47316708318
40,2021-05-17,NYY,1558.98594967578
41,2021-05-18,NYY,1560.24038681305
42,2021-05-19,NYY,1561.16754114915
43,2021-05-20,NYY,1562.2118403341299
44,2021-05-21,NYY,1563.0945564098402
45,2021-05-22,NYY,1564.66409233501
46,2021-05-23,NYY,1565.4994399684601
47,2021-05-25,NYY,1563.04154161979
48,2021-05-27,NYY,1562.5843121833
49,2021-05-27,NYY,1561.45322674328
50,2021-05-28,NYY,1561.0422120974201
51,2021-05-29,NYY,1558.5793401045
52,2021-05-30,NYY,1556.28794605386
53,2021-05-31,NYY,1554.94737072276
54,2021-06-01,NYY,1556.3256348053199
55,2021-06-02,NYY,1557.25102580917
56,2021-06-03,NYY,1553.6779455720002
57,2021-06-04,NYY,1551.98529802674
58,2021-06-05,NYY,1549.7689997632099
59,2021-06-06,NYY,1548.57470662404
60,2021-06-08,NYY,1550.48586365434
61,2021-06-09,NYY,1551.65754261704
62,2021-06-10,NYY,1550.4561715905402
63,2021-06-12,NYY,1549.3020567668
64,2021-06-13,NYY,1546.5752627817199
65,2021-06-15,NYY,1547.7422929789402
66,2021-06-16,NYY,1548.5772114848999
67,2021-06-17,NYY,1550.80143027515
68,2021-06-18,NYY,1549.29281005421
69,2021-06-19,NYY,1550.5716629917401
70,2021-06-20,NYY,1551.47492926923
71,2021-06-22,NYY,1549.86107961268
72,2021-06-23,NYY,1550.7207531690601
73,2021-06-24,NYY,1552.46271129924
74,2021-06-25,NYY,1551.14214489585
75,2021-06-26,NYY,1549.88137757409
76,2021-06-27,NYY,1546.76052272405
77,2021-06-28,NYY,1545.20998440841
78,2021-06-29,NYY,1547.1963447647
79,2021-06-30,NYY,1545.31865324978
